#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000,722.5,449.5,460.0,544.0,756.0,136.5,896.5,908.5,959.0,996.0
0.067,721.7,450.6,460.9,541.4,756.5,137.5,895.7,909.2,960.7,996.2
0.133,723.3,450.7,463.0,540.6,757.1,137.2,896.0,909.5,960.9,997.1
0.200,723.1,450.3,463.1,541.2,757.7,135.1,896.5,907.9,962.1,995.7
0.267,723.9,449.8,463.4,539.1,757.3,135.1,896.6,908.6,962.6,993.9
0.333,722.4,447.3,463.3,541.1,757.6,134.8,899.2,907.5,962.3,993.5
0.400,722.9,446.4,463.4,541.1,758.2,134.5,900.1,907.0,962.5,995.7
0.467,722.7,446.3,461.7,542.0,757.4,134.6,899.9,907.7,962.4,993.8
0.533,721.3,446.2,461.6,542.2,755.6,135.1,900.2,907.6,961.1,993.5
0.600,721.4,446.2,462.7,541.6,755.3,136.0,900.5,907.3,962.1,993.9
0.667,722.8,447.6,463.2,540.8,756.3,134.2,900.9,909.4,963.0,994.3
0.733,722.6,446.9,462.8,542.8,754.8,135.6,900.9,909.8,961.1,994.9
0.800,721.0,446.6,463.1,544.2,754.6,136.5,900.4,907.9,962.6,993.1
0.867,720.3,446.1,462.2,543.3,753.6,136.2,900.6,908.0,963.0,993.7
0.933,720.7,446.0,463.5,542.8,754.7,136.9,900.5,908.6,964.4,992.8
1.000,720.4,445.8,467.1,542.2,754.6,137.1,901.0,908.2,965.2,993.1
1.067,720.2,445.4,466.3,541.0,755.4,137.9,900.4,908.2,964.2,993.0
1.133,720.7,445.2,466.0,541.6,754.7,138.5,901.3,908.3,964.1,992.5
1.200,720.7,445.6,464.3,542.1,754.8,138.2,901.6,909.7,964.2,993.3
1.267,720.6,445.8,465.9,542.6,753.9,138.9,902.1,908.4,964.1,993.4
1.333,720.0,444.8,466.3,542.2,755.3,137.9,902.9,908.3,963.9,995.2
1.400,720.0,444.7,466.7,541.5,756.7,135.9,903.3,908.9,966.3,996.0
1.467,720.0,444.4,467.1,540.8,757.6,134.2,902.7,909.6,966.8,996.3
1.533,719.1,444.7,466.3,541.9,757.7,132.6,902.6,909.1,967.0,996.7
1.600,720.2,444.5,466.8,542.2,758.2,133.0,901.4,910.6,967.0,994.9
1.667,720.5,444.3,467.9,542.7,761.0,131.5,901.8,909.8,965.6,995.9
1.733,720.4,444.5,469.0,543.8,758.7,131.8,901.5,909.3,966.6,995.3
1.800,721.2,444.4,467.6,544.9,759.7,130.4,901.3,908.7,967.5,993.8
1.867,721.7,444.4,468.6,543.6,759.6,131.3,901.3,908.6,967.1,993.4
1.933,721.8,443.2,468.9,544.8,757.6,132.0,901.3,907.7,967.3,992.5
2.000,722.3,442.3,467.6,545.9,759.3,131.6,901.7,907.1,967.2,993.1
2.067,722.9,443.8,469.5,544.1,759.6,131.4,901.5,906.7,966.2,991.6
2.133,722.9,443.4,468.1,544.4,759.9,131.4,903.1,905.7,966.2,992.5
2.200,722.2,440.8,467.8,542.7,760.4,133.2,902.7,906.7,966.2,993.2
2.267,722.3,441.2,469.2,541.9,760.4,135.3,901.6,903.0,966.6,994.4
2.333,721.6,441.3,468.7,542.0,760.2,135.2,901.4,906.2,965.9,995.5
2.400,721.6,442.2,467.5,542.0,758.5,134.2,900.8,906.9,967.4,995.0
2.467,722.8,440.2,466.7,543.0,758.3,134.8,901.3,905.9,966.8,996.0
2.533,722.5,439.8,467.5,542.6,757.6,133.8,900.9,903.9,967.2,995.8
2.600,722.3,438.4,468.3,543.4,757.6,135.7,900.7,905.1,968.5,994.2
2.666,723.4,437.6,469.1,543.6,758.6,135.3,898.8,904.5,969.5,995.6
2.733,721.7,437.1,470.1,542.6,756.7,135.9,896.8,903.0,969.2,994.5
2.800,719.7,436.2,469.6,544.2,757.8,137.3,896.6,903.8,968.2,994.5
2.866,720.0,439.1,468.6,542.6,757.8,135.1,896.4,905.1,965.1,994.3
