#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000000000000000000e+00,3.848999999999999773e+02,5.151000000000000227e+02,7.850000000000000000e+02,1.925000000000000000e+02,6.530000000000000000e+02,9.300000000000000000e+02,5.450000000000000000e+01,6.850000000000000000e+01
6.599999999999539568e-02,3.845000000000000000e+02,5.156000000000000227e+02,7.847999999999999545e+02,1.930000000000000000e+02,6.527999999999999545e+02,9.293999999999999773e+02,5.471999999999999886e+01,6.846999999999999886e+01
1.329999999999955662e-01,3.846000000000000227e+02,5.162999999999999545e+02,7.851000000000000227e+02,1.929000000000000057e+02,6.530000000000000000e+02,9.292000000000000455e+02,5.446999999999999886e+01,6.848000000000000398e+01
1.999999999999957367e-01,3.848000000000000114e+02,5.162999999999999545e+02,7.851000000000000227e+02,1.929000000000000057e+02,6.527999999999999545e+02,9.290000000000000000e+02,5.439999999999999858e+01,6.845000000000000284e+01
2.659999999999982379e-01,3.848000000000000114e+02,5.165000000000000000e+02,7.852000000000000455e+02,1.925999999999999943e+02,6.525000000000000000e+02,9.290000000000000000e+02,5.418999999999999773e+01,6.875000000000000000e+01
3.329999999999984084e-01,3.851999999999999886e+02,5.157999999999999545e+02,7.858999999999999773e+02,1.925999999999999943e+02,6.520000000000000000e+02,9.290000000000000000e+02,5.465999999999999659e+01,6.867000000000000171e+01
3.999999999999985789e-01,3.851000000000000227e+02,5.162999999999999545e+02,7.861000000000000227e+02,1.924000000000000057e+02,6.517999999999999545e+02,9.290000000000000000e+02,5.454999999999999716e+01,6.840000000000000568e+01
4.660000000000010800e-01,3.851000000000000227e+02,5.162000000000000455e+02,7.860000000000000000e+02,1.925999999999999943e+02,6.520000000000000000e+02,9.290000000000000000e+02,5.442000000000000171e+01,6.854999999999999716e+01
5.330000000000012506e-01,3.851000000000000227e+02,5.163999999999999773e+02,7.857999999999999545e+02,1.921999999999999886e+02,6.521000000000000227e+02,9.291000000000000227e+02,5.464000000000000057e+01,6.831999999999999318e+01
6.000000000000014211e-01,3.851000000000000227e+02,5.162999999999999545e+02,7.855000000000000000e+02,1.928000000000000114e+02,6.518999999999999773e+02,9.287999999999999545e+02,5.431000000000000227e+01,6.809000000000000341e+01
6.659999999999968168e-01,3.848000000000000114e+02,5.163999999999999773e+02,7.848999999999999773e+02,1.925999999999999943e+02,6.521000000000000227e+02,9.285000000000000000e+02,5.410999999999999943e+01,6.870999999999999375e+01
7.329999999999969873e-01,3.846999999999999886e+02,5.165000000000000000e+02,7.847999999999999545e+02,1.925000000000000000e+02,6.522999999999999545e+02,9.282000000000000455e+02,5.417999999999999972e+01,6.862000000000000455e+01
7.999999999999971578e-01,3.846999999999999886e+02,5.162999999999999545e+02,7.845000000000000000e+02,1.925000000000000000e+02,6.521000000000000227e+02,9.282000000000000455e+02,5.453999999999999915e+01,6.857999999999999829e+01
