#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000,308.0,81.00,331.5,518.5,165.0,781.0,645.5,370.0,704.0,495.0
0.067,309.6,79.78,332.2,518.0,166.3,780.2,646.4,369.3,705.9,493.7
0.133,308.9,79.94,332.0,518.9,166.1,780.2,646.1,368.5,705.4,492.9
0.200,308.8,78.69,331.2,519.8,166.1,779.8,646.3,369.0,703.9,492.7
0.267,308.3,78.41,331.5,518.6,165.6,779.7,645.8,368.6,704.0,493.0
0.333,307.4,78.09,331.2,518.8,167.2,780.0,645.8,369.5,703.8,495.1
0.400,306.9,76.79,331.5,519.5,166.1,779.5,645.0,368.7,705.1,494.1
0.467,308.3,76.27,330.7,519.7,165.4,779.7,644.8,369.6,704.5,493.0
0.533,307.7,75.02,331.1,520.1,166.6,778.6,645.3,370.2,705.2,492.6
0.600,309.6,74.03,331.9,520.5,167.4,780.0,644.8,369.6,704.6,492.4
0.667,310.2,73.45,331.7,520.1,167.0,780.3,644.7,370.5,705.7,492.3
0.733,310.3,73.41,330.7,520.5,166.0,779.2,645.5,370.9,705.5,492.3
0.800,311.0,72.24,330.8,520.2,166.4,778.5,646.2,369.7,705.4,490.9
0.867,311.2,70.86,331.9,520.0,165.7,777.5,646.4,370.9,704.3,491.3
0.933,311.6,72.07,331.6,519.4,165.3,778.6,646.7,370.5,704.8,490.2
1.000,311.2,72.17,331.9,519.6,164.1,778.8,647.1,369.6,705.1,490.3
1.067,310.8,72.17,333.0,519.8,164.2,778.9,648.9,369.5,705.6,490.9
1.133,310.4,73.31,332.9,519.8,165.0,777.2,647.6,368.4,705.0,491.7
1.200,310.1,73.24,332.3,520.1,165.2,776.3,647.8,367.9,704.5,491.4
1.267,308.9,73.49,332.7,519.8,164.7,774.8,647.5,367.5,705.5,491.1
1.333,307.5,73.11,332.8,519.2,163.2,775.8,647.8,366.7,705.9,490.0
1.400,306.7,74.20,333.6,519.8,163.7,775.0,647.4,366.5,706.4,491.0
1.467,306.5,72.28,333.9,518.3,163.8,775.7,645.9,366.8,706.7,492.0
1.533,305.5,72.78,333.3,518.8,164.7,776.1,646.4,366.2,705.6,491.8
1.600,305.9,72.25,333.6,518.7,164.2,775.0,646.9,365.9,705.8,492.1
1.667,304.7,72.77,333.9,518.5,164.7,774.4,646.4,365.6,706.2,491.9
1.733,305.3,72.46,333.4,518.5,164.1,774.5,647.0,366.0,705.9,492.2
1.800,305.5,72.89,333.7,518.3,163.7,775.6,647.8,366.2,705.4,491.8
1.867,304.7,73.34,334.8,517.8,165.3,775.9,647.6,365.9,704.4,491.2
1.933,305.2,73.06,333.9,518.1,165.2,774.7,649.2,366.0,703.2,489.6
2.000,305.7,73.43,334.4,517.6,165.0,774.1,649.5,365.9,703.7,488.9
2.067,306.6,74.04,335.6,516.9,165.4,774.9,649.7,367.1,704.0,490.5
2.133,305.3,73.60,335.6,516.1,165.4,774.7,649.6,366.8,704.1,488.9
2.200,305.1,73.99,335.4,516.5,164.2,774.8,650.2,366.7,702.9,487.3
2.267,305.9,73.78,335.7,517.8,163.9,774.9,649.7,366.9,703.1,486.6
2.333,306.4,74.26,336.8,516.7,163.7,773.9,649.5,366.9,703.1,487.6
2.400,304.5,72.58,335.6,516.5,163.2,774.5,649.3,367.0,703.9,488.0
2.467,305.5,72.70,334.9,516.7,162.8,775.1,649.3,367.0,703.5,487.3
2.533,306.0,72.74,334.7,516.9,163.0,774.7,648.9,366.3,703.6,486.6
