#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000,670.0,962.0,201.5,637.5,123.5,402.5,827.0,571.0,815.5,52.50
0.067,670.0,962.3,201.4,638.0,123.4,403.8,827.2,572.3,815.7,52.99
0.133,670.0,962.5,203.8,639.2,123.6,404.9,826.3,572.1,816.1,54.63
0.200,670.8,962.7,203.8,640.5,124.5,404.9,826.5,573.0,816.5,54.76
0.267,670.3,962.8,203.4,640.5,125.4,403.4,827.7,573.3,816.6,55.90
0.333,669.3,963.6,204.4,639.5,123.8,404.5,828.6,573.3,816.7,56.35
0.400,669.6,964.2,204.5,640.0,122.3,404.7,829.7,573.7,817.8,57.70
0.467,670.5,964.1,204.6,639.5,121.5,404.5,830.7,573.6,817.6,55.97
0.533,671.2,964.7,205.9,639.9,121.6,404.5,830.2,574.7,817.6,56.91
0.600,671.4,965.1,207.3,639.7,123.5,406.2,831.0,574.7,817.6,56.37
0.667,670.3,965.2,207.4,639.8,123.1,406.9,831.2,575.1,819.8,57.18
0.733,669.8,964.9,207.9,640.1,122.1,407.6,831.3,576.0,819.6,57.48
0.800,670.8,966.0,207.9,640.6,121.1,407.8,830.7,576.3,820.6,58.23
0.867,671.0,965.6,208.1,640.4,121.9,409.2,831.1,576.8,821.1,57.78
0.933,670.3,966.1,208.3,641.8,121.4,407.9,832.7,577.0,821.3,58.88
1.000,670.2,966.4,207.3,641.3,120.9,408.1,832.9,577.6,821.9,58.26
1.067,670.0,966.4,207.9,641.9,120.1,408.9,832.5,578.4,821.8,58.80
1.133,669.8,965.6,208.4,641.1,120.1,408.8,832.6,577.1,820.9,59.04
1.200,670.4,966.3,209.5,642.3,120.2,408.4,832.1,578.3,821.9,60.62
1.267,669.4,966.7,210.2,643.0,121.1,408.2,831.2,577.8,820.2,60.19
1.333,669.0,965.9,210.5,642.6,122.2,408.1,831.0,579.4,821.5,59.00
1.400,669.7,967.5,211.4,641.6,121.9,408.8,831.0,577.8,820.7,59.45
1.467,670.0,967.9,211.1,641.6,121.9,407.6,831.0,578.3,820.1,59.56
1.533,670.2,967.8,210.8,639.5,122.1,407.6,831.3,579.2,819.2,60.32
1.600,669.9,967.8,210.3,639.7,122.8,407.9,831.3,578.8,819.3,60.55
1.667,669.6,967.7,209.6,639.9,122.8,407.1,833.3,578.8,820.1,63.15
1.733,670.3,967.4,209.4,641.2,123.0,409.7,832.4,580.7,820.1,62.56
1.800,670.4,968.3,209.5,641.3,122.4,409.6,832.5,579.1,820.0,63.27
1.867,670.0,967.8,210.4,641.7,122.8,410.1,831.5,579.4,819.0,64.08
1.933,669.6,968.3,211.3,641.1,122.4,410.4,830.4,580.3,820.4,65.83
2.000,669.5,967.4,212.2,642.8,123.3,410.5,830.3,581.2,820.7,63.75
2.067,670.0,966.5,212.5,642.4,122.4,410.5,830.9,580.7,820.3,63.69
2.133,669.4,966.1,211.8,642.8,122.2,410.3,830.6,580.4,821.7,64.79
2.200,669.8,966.1,210.6,642.2,122.9,411.7,830.2,580.3,821.8,65.15
2.267,670.0,965.6,211.6,640.7,122.6,411.4,828.9,580.2,822.1,65.45
2.333,670.1,966.2,211.3,640.2,123.1,410.9,829.0,580.8,822.2,64.25
2.400,670.4,966.4,211.1,640.4,123.8,411.3,829.6,580.8,821.4,63.52
2.467,671.6,966.8,211.6,640.5,124.3,411.4,829.9,580.4,820.8,63.27
2.533,672.9,966.9,211.0,640.4,124.0,411.7,830.0,582.0,820.0,63.67
2.600,672.9,965.9,212.6,640.5,123.6,411.4,830.1,582.9,819.3,62.43
2.666,673.0,965.8,212.0,641.0,123.2,412.2,829.4,584.2,819.3,62.80
2.733,672.8,965.7,212.3,640.6,123.2,412.4,829.0,584.6,820.2,64.31
2.800,673.7,965.9,211.0,641.6,124.4,412.0,829.3,584.3,820.1,65.52
2.866,674.1,965.7,211.9,642.6,123.9,413.3,830.3,583.8,820.6,66.24
2.933,674.6,965.2,213.6,643.2,123.9,413.2,831.0,585.6,820.1,66.54
3.000,674.7,966.0,213.5,641.9,123.3,412.1,832.2,584.9,822.0,67.31
3.066,674.8,965.3,213.1,642.0,122.9,413.4,831.8,585.5,821.2,66.49
3.133,675.6,967.1,213.7,642.4,123.9,414.3,832.4,585.4,821.5,67.03
3.200,675.7,966.5,213.9,642.9,122.9,414.5,832.6,585.6,821.2,67.08
3.266,676.2,967.3,213.5,642.0,122.2,413.0,832.8,586.5,822.1,66.96
3.333,675.4,967.2,214.0,640.8,121.8,412.4,831.9,588.1,822.6,66.63
3.400,675.1,967.2,214.6,641.6,122.6,411.6,832.8,587.7,821.8,66.11
3.466,673.9,967.6,214.8,642.2,122.1,412.9,833.6,588.9,821.0,65.47
3.533,674.0,967.9,214.8,641.9,122.0,412.6,834.4,589.0,821.6,65.13
3.600,674.4,968.4,214.0,642.2,122.7,412.2,833.7,588.5,821.5,65.57
3.666,674.2,967.8,213.9,642.4,122.5,412.9,833.5,589.7,821.7,65.02
3.733,675.9,968.1,214.2,642.1,123.0,412.3,834.5,588.9,821.4,65.55
3.800,676.7,968.9,214.5,642.7,122.5,412.5,834.8,589.6,821.7,64.62
3.866,676.4,969.0,214.2,642.3,123.3,411.3,835.0,591.0,822.1,64.83
3.933,676.2,968.6,214.8,642.9,124.2,412.5,835.2,590.6,822.7,63.77
4.000,676.2,968.8,214.9,643.2,124.3,412.5,835.1,591.8,822.9,63.77
4.066,677.9,969.1,215.1,641.9,124.9,412.6,835.4,591.8,823.1,62.95
4.133,678.3,968.6,214.2,642.6,125.3,412.4,835.8,593.8,823.3,62.09
4.200,678.0,969.0,214.7,643.0,125.2,412.6,835.1,593.9,823.0,62.75
4.266,677.8,969.3,215.3,643.7,125.3,411.4,835.2,593.3,822.6,62.63
4.333,678.5,968.3,213.9,644.6,125.7,411.1,834.7,592.2,822.8,62.60
4.400,678.4,968.2,213.8,645.9,125.3,411.6,835.0,592.3,821.5,62.16
4.466,677.7,967.3,213.7,646.0,125.5,410.4,834.8,591.7,822.8,63.19
4.533,677.7,967.5,214.3,645.1,124.6,409.7,835.0,592.1,822.5,63.36
4.600,678.7,968.9,214.2,644.4,124.8,409.5,835.0,591.9,822.5,62.44
4.666,678.5,969.9,213.9,644.4,123.6,408.9,835.0,591.5,822.9,61.77
