#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000,129.5,776.5,343.5,664.0,891.5,526.5,756.0,284.0,1.232E3,670.5
0.067,130.3,777.3,343.8,666.0,891.4,526.5,757.7,284.2,1.232E3,670.1
0.133,130.6,775.3,343.6,665.1,890.9,526.4,757.6,282.5,1.232E3,670.6
0.200,129.7,774.9,343.7,665.6,890.5,526.5,757.4,283.9,1.233E3,670.7
0.267,128.4,774.6,341.5,665.8,890.9,527.2,755.9,286.8,1.234E3,670.5
0.333,128.6,776.6,340.0,664.6,890.9,527.3,755.1,286.4,1.234E3,670.9
0.400,128.2,774.6,340.2,665.4,889.7,527.2,754.5,285.8,1.234E3,670.1
0.467,127.6,773.9,340.3,663.6,889.6,527.2,753.9,285.2,1.234E3,669.8
0.533,126.8,773.7,338.8,660.3,889.8,527.1,754.8,283.7,1.234E3,669.3
0.600,125.9,772.9,335.7,658.8,889.4,527.9,754.7,285.7,1.234E3,669.3
0.667,126.5,774.1,336.3,656.3,889.6,527.0,754.2,285.1,1.234E3,668.9
0.733,125.8,773.2,336.7,656.0,890.2,528.4,752.4,287.2,1.235E3,668.3
0.800,124.6,774.4,336.1,655.7,889.8,527.7,750.4,288.6,1.236E3,669.4
0.867,124.4,774.6,334.7,655.5,889.2,527.3,748.3,288.8,1.235E3,668.5
0.933,125.7,772.9,332.4,658.0,890.4,527.4,744.8,288.3,1.234E3,668.3
1.000,125.6,773.9,332.8,658.0,890.9,527.4,744.1,287.3,1.234E3,669.4
1.067,125.3,773.3,332.9,657.1,890.6,527.4,744.7,288.1,1.234E3,669.3
1.133,126.1,772.6,332.0,655.5,890.4,527.8,745.3,288.1,1.234E3,669.6
1.200,126.4,771.9,331.5,655.1,890.4,527.7,744.6,288.2,1.233E3,668.7
1.267,125.0,771.8,333.3,652.8,890.8,527.4,745.0,288.3,1.233E3,669.3
1.333,125.4,769.8,332.4,651.6,889.9,527.1,744.6,288.4,1.232E3,668.3
1.400,125.9,771.3,333.4,654.5,890.7,527.7,745.3,287.4,1.232E3,667.9
1.467,126.2,772.1,333.3,654.8,890.3,527.6,746.0,285.2,1.232E3,667.7
1.533,125.7,771.1,333.6,654.6,890.8,526.7,744.3,284.1,1.232E3,667.5
1.600,127.4,771.8,333.4,654.7,890.2,526.7,745.3,284.3,1.232E3,666.1
1.667,128.4,772.5,331.4,656.4,890.3,526.8,746.0,284.8,1.232E3,667.4
1.733,129.1,771.7,331.4,654.8,889.3,525.4,746.8,285.0,1.232E3,667.2
1.800,130.6,771.3,332.5,655.9,889.6,526.5,748.1,283.7,1.232E3,668.4
1.867,131.5,772.1,332.3,655.9,890.0,525.9,746.8,284.7,1.232E3,668.8
1.933,131.9,772.3,333.0,654.9,890.3,526.3,747.3,285.7,1.232E3,668.6
2.000,132.0,772.2,333.1,654.8,889.8,526.3,747.9,285.5,1.232E3,668.0
2.067,132.6,772.3,331.1,653.3,889.9,526.1,746.9,284.8,1.232E3,668.1
2.133,132.6,772.4,331.7,652.5,889.6,526.7,746.7,285.4,1.232E3,666.3
2.200,134.4,771.2,332.7,652.4,888.5,525.7,746.0,283.1,1.231E3,665.8
2.267,133.7,770.5,323.0,645.0,888.6,525.4,745.6,281.7,1.231E3,665.4
2.333,132.5,769.3,321.7,642.9,889.1,526.2,745.3,279.7,1.231E3,665.4
2.400,131.1,770.2,320.4,642.6,889.6,526.8,743.9,278.6,1.231E3,665.7
2.467,132.3,770.8,321.9,642.6,890.0,526.3,744.3,278.5,1.231E3,666.7
2.533,132.3,769.6,322.6,641.9,889.9,526.8,744.2,278.5,1.231E3,667.4
2.600,135.4,768.2,321.2,642.4,890.0,527.2,745.5,279.9,1.231E3,667.4
2.666,136.3,767.5,319.5,641.0,891.2,527.1,745.8,279.6,1.231E3,666.6
2.733,136.7,767.7,318.3,640.0,890.2,527.2,745.0,279.2,1.231E3,666.7
2.800,137.7,767.1,318.6,640.5,890.5,527.2,743.6,279.3,1.231E3,666.4
2.866,139.9,766.6,316.9,641.1,890.1,527.5,742.1,278.3,1.230E3,665.8
2.933,139.8,764.8,317.7,641.2,890.8,527.8,743.7,277.9,1.231E3,664.8
3.000,140.2,764.4,320.0,639.3,890.2,527.3,743.0,276.9,1.231E3,665.1
3.066,141.8,764.9,321.5,638.3,890.7,527.3,743.8,277.0,1.231E3,666.7
3.133,141.7,764.6,326.0,638.5,890.5,528.2,744.8,275.7,1.231E3,667.4
3.200,142.1,763.6,327.3,638.2,890.9,528.4,744.8,276.1,1.231E3,667.9
3.266,143.7,764.0,326.3,640.5,891.3,527.9,743.7,276.9,1.231E3,667.7
3.333,142.5,762.4,326.5,640.3,891.2,527.7,745.8,275.1,1.231E3,667.4
3.400,143.0,762.4,326.0,640.7,891.2,527.1,745.3,273.8,1.231E3,667.6
3.466,145.2,761.0,325.7,642.0,891.2,527.8,745.3,272.9,1.231E3,668.1
3.533,146.8,761.3,324.3,641.7,891.8,527.9,746.0,273.1,1.231E3,668.1
3.600,146.8,760.3,323.6,639.0,891.0,526.4,746.0,273.5,1.231E3,668.1
3.666,146.9,759.5,324.3,638.4,891.7,526.6,744.9,271.9,1.231E3,670.2
3.733,148.7,758.6,324.4,636.5,891.7,526.9,745.1,272.6,1.232E3,670.9
3.800,146.5,758.6,324.1,636.6,890.6,525.9,745.4,273.5,1.231E3,669.6
3.866,146.4,758.9,322.8,636.4,891.6,526.3,747.3,273.9,1.231E3,669.2
3.933,145.2,757.1,322.5,635.8,890.8,526.5,747.5,273.9,1.232E3,668.9
4.000,144.3,756.6,320.9,635.5,890.6,526.3,749.2,274.3,1.231E3,667.6
4.066,143.9,754.2,322.6,635.1,890.6,526.9,750.9,274.0,1.231E3,667.3
4.133,143.4,756.5,323.5,635.9,890.3,526.3,753.7,273.2,1.231E3,667.7
4.200,142.4,756.0,324.4,638.4,890.4,526.8,755.1,274.5,1.231E3,667.4
4.266,143.5,755.3,322.3,636.4,889.9,526.2,754.6,275.4,1.231E3,667.9
4.333,143.2,756.7,322.4,636.1,889.4,526.6,757.0,276.3,1.231E3,667.4
4.400,144.4,755.9,321.2,635.7,888.8,525.8,759.0,275.4,1.231E3,668.1
4.466,144.5,755.0,320.7,634.5,888.0,524.7,759.2,273.5,1.231E3,668.6
4.533,144.3,755.7,321.3,634.4,888.7,525.4,757.9,272.4,1.231E3,668.1
4.600,144.3,757.6,322.0,634.4,888.5,525.2,756.3,270.3,1.231E3,668.7
4.666,144.8,757.7,321.0,634.8,889.3,526.2,755.4,269.0,1.231E3,668.7
4.733,145.1,756.8,320.9,634.5,890.3,526.9,756.1,268.6,1.231E3,667.9
4.800,145.4,758.1,319.2,634.7,891.3,527.2,754.8,269.7,1.231E3,667.3
4.866,143.7,756.9,319.0,636.2,890.8,527.1,755.2,269.6,1.230E3,666.3
4.933,144.6,755.9,317.5,635.6,890.1,526.9,754.3,268.9,1.230E3,666.6
5.000,145.8,754.5,315.6,636.5,891.9,527.4,755.2,270.0,1.230E3,668.3
5.066,144.9,754.8,316.4,636.9,891.4,527.2,757.1,271.1,1.231E3,669.4
5.133,145.3,753.2,316.3,637.6,891.7,527.8,756.7,273.3,1.231E3,668.9
5.200,144.3,752.7,316.5,638.2,889.8,527.0,756.1,271.6,1.231E3,667.9
5.266,144.2,752.6,314.8,638.9,889.7,527.3,755.1,272.4,1.232E3,668.4
5.333,144.5,754.0,316.3,639.2,889.7,527.2,755.1,273.3,1.232E3,668.4
5.400,144.3,755.6,317.7,639.4,890.2,528.2,755.9,274.4,1.232E3,668.9
5.466,144.4,757.0,317.2,638.4,890.2,528.6,757.0,275.7,1.232E3,668.8
5.533,145.5,756.8,318.3,638.5,890.6,528.9,756.5,276.6,1.232E3,669.4
5.600,146.5,756.9,318.3,638.0,890.5,527.2,756.4,276.5,1.233E3,669.9
5.666,146.7,756.6,318.9,637.8,891.0,527.9,755.1,275.8,1.233E3,670.4
5.733,146.1,755.4,318.8,639.1,892.3,527.6,755.1,276.4,1.233E3,670.7
5.800,146.4,754.3,320.9,640.0,892.0,527.5,756.0,276.5,1.233E3,670.2
5.866,144.0,754.7,320.0,640.1,892.2,527.7,759.3,277.5,1.233E3,670.8
5.933,143.0,753.4,320.5,640.0,891.1,527.0,760.0,276.9,1.233E3,670.0
6.000,145.1,753.2,320.8,641.1,891.9,526.9,761.0,277.9,1.232E3,668.5
6.066,145.1,752.5,321.6,640.5,891.6,526.5,758.9,279.2,1.233E3,668.0
6.133,145.9,750.7,322.9,639.5,891.8,526.5,759.2,279.6,1.233E3,668.0
6.200,146.3,750.3,322.6,639.6,890.7,525.7,758.3,278.8,1.233E3,668.4
6.266,145.8,749.7,321.7,639.2,890.6,525.9,760.4,279.6,1.233E3,668.1
6.333,146.1,750.6,322.6,640.5,890.7,525.8,758.6,280.2,1.234E3,669.5
6.400,145.0,750.7,322.3,641.4,890.5,525.5,759.0,282.0,1.234E3,669.4
6.466,147.0,748.5,322.9,641.5,891.2,526.2,761.5,281.9,1.234E3,669.2
6.533,147.4,748.6,322.9,641.9,890.7,525.9,761.1,282.0,1.234E3,669.7
6.600,146.7,746.7,324.7,642.9,889.8,525.5,760.8,281.0,1.234E3,669.9
6.666,148.1,747.0,323.3,641.8,890.3,526.2,761.6,281.3,1.234E3,669.2
6.733,146.7,746.4,322.6,643.6,890.3,525.7,761.2,280.0,1.234E3,669.0
