#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
0.000,550.5,593.5,627.0,821.0,287.0,857.5,1.061E3,449.5
0.067,553.3,594.6,625.2,821.4,288.0,858.6,1.061E3,449.2
0.133,554.0,594.9,623.5,821.3,287.9,859.4,1.061E3,447.8
0.200,555.1,594.7,623.1,822.3,289.1,858.8,1.060E3,447.5
0.267,555.3,593.1,622.0,821.6,288.4,859.3,1.060E3,447.0
0.333,554.5,593.6,620.8,822.2,286.1,859.1,1.058E3,447.6
0.400,554.6,594.3,619.9,822.4,286.8,858.3,1.057E3,448.3
0.467,553.6,593.8,618.6,822.8,287.7,859.6,1.054E3,451.4
0.533,552.8,593.9,619.1,820.8,288.3,859.3,1.055E3,452.4
0.600,551.2,595.7,618.1,820.2,289.7,859.5,1.054E3,453.3
0.667,553.2,595.7,618.4,821.6,289.1,858.2,1.054E3,454.0
0.733,552.6,594.4,617.3,823.2,289.8,858.0,1.055E3,453.7
0.800,552.4,594.5,616.8,822.1,289.8,858.6,1.056E3,452.4
0.867,552.6,595.1,617.2,821.9,289.9,858.0,1.056E3,452.5
0.933,552.1,597.8,619.1,821.8,291.1,859.1,1.056E3,452.8
1.000,551.8,598.1,619.8,820.9,290.4,860.1,1.057E3,453.2
1.067,550.7,599.2,621.1,821.8,289.2,860.7,1.058E3,454.2
1.133,551.1,600.8,620.1,822.0,288.8,861.0,1.059E3,454.0
1.200,551.2,599.5,620.1,821.2,289.1,861.5,1.057E3,452.2
1.267,550.5,598.8,619.6,822.0,290.7,863.5,1.057E3,451.0
1.333,550.2,598.9,619.4,821.0,289.9,864.9,1.057E3,453.0
1.400,550.8,597.9,617.8,819.2,289.3,864.9,1.057E3,453.6
1.467,551.2,597.7,616.2,821.3,290.4,865.4,1.057E3,455.1
1.533,551.1,597.4,615.7,821.1,290.6,866.2,1.058E3,455.1
1.600,552.3,596.8,616.1,820.4,291.3,865.4,1.057E3,452.8
1.667,552.6,596.8,617.5,819.5,291.3,865.8,1.057E3,452.5
1.733,553.9,595.4,616.9,820.2,291.6,867.3,1.058E3,451.5
1.800,552.1,595.1,616.0,820.9,292.3,868.1,1.059E3,451.7
1.867,551.3,595.3,616.4,819.1,291.9,868.5,1.059E3,452.0
1.933,553.3,595.9,616.1,819.3,291.3,870.3,1.059E3,454.1
2.000,553.6,596.3,616.5,819.6,291.1,870.3,1.060E3,453.0
2.067,552.4,597.1,615.7,819.7,290.0,870.0,1.061E3,452.4
2.133,552.8,597.9,615.8,820.1,290.3,869.2,1.061E3,452.3
2.200,553.5,595.7,615.8,820.3,290.3,869.6,1.061E3,450.4
2.267,555.3,597.2,616.9,821.2,288.5,869.7,1.060E3,451.7
2.333,556.5,596.7,617.2,821.6,289.5,868.4,1.059E3,450.4
2.400,554.4,596.3,616.9,819.8,289.1,868.4,1.060E3,452.3
2.467,554.0,595.2,617.2,819.0,290.4,868.2,1.061E3,451.6
2.533,555.2,596.3,615.2,817.6,289.3,869.2,1.061E3,451.0
2.600,556.9,596.0,616.1,818.1,288.9,871.2,1.061E3,450.7
2.666,555.5,595.6,616.6,817.7,288.8,871.7,1.061E3,451.2
2.733,555.1,596.0,616.0,816.3,290.3,872.4,1.061E3,451.3
2.800,553.2,595.8,614.6,815.5,290.8,873.3,1.061E3,452.1
2.866,553.6,596.3,615.0,815.9,292.1,874.0,1.060E3,452.4
2.933,554.3,595.7,614.4,815.0,291.8,874.7,1.061E3,451.9
3.000,554.4,595.7,614.1,814.7,291.0,875.7,1.062E3,450.5
3.066,553.3,595.7,614.6,815.9,291.6,874.7,1.062E3,448.5
3.133,552.4,595.2,615.2,815.1,293.0,873.5,1.063E3,447.7
3.200,551.1,594.1,615.9,814.8,293.5,870.9,1.064E3,447.6
3.266,551.4,594.5,614.2,813.7,293.8,872.1,1.066E3,447.5
3.333,550.6,595.8,612.7,812.9,293.9,872.2,1.065E3,448.6
3.400,552.0,594.4,613.3,813.4,294.4,871.3,1.066E3,450.2
3.466,549.8,595.7,610.8,812.0,295.1,871.1,1.066E3,450.5
3.533,550.8,595.4,610.3,812.5,294.3,871.1,1.068E3,450.7
3.600,550.8,597.2,611.0,811.3,294.7,870.5,1.066E3,451.0
3.666,548.7,595.2,613.0,810.3,294.9,870.5,1.066E3,451.1
3.733,547.6,596.0,614.1,809.6,295.7,871.4,1.066E3,451.2
3.800,547.6,597.3,614.0,809.5,296.9,870.5,1.066E3,451.7
3.866,546.2,598.5,612.6,809.2,298.5,870.3,1.066E3,452.5
3.933,547.8,599.0,612.8,810.9,299.5,871.7,1.067E3,453.4
4.000,547.1,599.7,612.7,811.0,298.3,872.6,1.069E3,454.3
4.066,550.1,598.5,612.2,811.9,298.7,872.7,1.069E3,454.6
4.133,550.8,597.2,609.9,813.4,298.2,871.8,1.069E3,455.4
4.200,552.6,597.5,609.5,814.1,298.1,870.7,1.070E3,455.2
4.266,552.2,597.9,610.1,814.0,299.0,870.3,1.069E3,455.6
4.333,552.4,597.6,610.1,814.3,298.9,869.1,1.069E3,453.5
4.400,554.1,596.9,610.4,813.2,298.2,868.3,1.070E3,454.6
4.466,554.4,596.1,609.8,811.7,296.6,869.9,1.069E3,454.3
4.533,552.3,596.0,611.1,813.0,295.1,869.5,1.069E3,454.6
4.600,552.3,595.6,611.5,813.4,295.4,869.5,1.070E3,455.3
4.666,551.3,595.6,609.7,814.3,294.8,871.2,1.071E3,456.4
