#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,,masa F,,masa G,,masa H,,masa I,
t,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0.000000E0,-4.535000E2,-3.700000E1,-4.220000E2,-1.565000E2,-1.420000E2,-3.530000E2,3.010000E2,-2.505000E2,9.250000E1,1.060000E2,1.390000E2,-6.200000E1,2.215000E2,-3.215000E2,5.790000E2,7.250000E1,1.485000E2,-2.345000E2
6.666222E-2,-4.534176E2,-3.634136E1,-4.206632E2,-1.565921E2,-1.415000E2,-3.545000E2,3.011735E2,-2.506143E2,9.292459E1,1.070772E2,1.392797E2,-6.202353E1,2.216246E2,-3.215166E2,5.787872E2,7.274002E1,1.483521E2,-2.344057E2
1.333244E-1,-4.557215E2,-3.793338E1,-4.211712E2,-1.550798E2,-1.428561E2,-3.534427E2,3.013430E2,-2.506774E2,9.327780E1,1.086596E2,1.390308E2,-6.209638E1,2.212645E2,-3.204173E2,5.794692E2,7.016644E1,1.505065E2,-2.351974E2
1.999867E-1,-4.571515E2,-3.697818E1,-4.205529E2,-1.548568E2,-1.427154E2,-3.536259E2,3.005096E2,-2.521513E2,9.255917E1,1.083975E2,1.389422E2,-6.201027E1,2.199100E2,-3.195262E2,5.778716E2,7.060375E1,1.520975E2,-2.351021E2
2.666489E-1,-4.575209E2,-3.982218E1,-4.217659E2,-1.545549E2,-1.420196E2,-3.532034E2,3.010294E2,-2.541039E2,9.259348E1,1.077999E2,1.387504E2,-6.210337E1,2.173168E2,-3.208981E2,5.793446E2,7.030858E1,1.522392E2,-2.352037E2
3.333111E-1,-4.572747E2,-3.979301E1,-4.224178E2,-1.542572E2,-1.428399E2,-3.533160E2,3.013045E2,-2.536903E2,9.054483E1,1.077398E2,1.415000E2,-6.550000E1,2.194843E2,-3.185969E2,5.787503E2,6.997849E1,1.505234E2,-2.344533E2
3.999733E-1,-4.576415E2,-4.010814E1,-4.216908E2,-1.543899E2,-1.445538E2,-3.535430E2,3.034965E2,-2.536202E2,8.841155E1,1.063087E2,1.415000E2,-6.150000E1,2.214315E2,-3.185893E2,5.806749E2,6.955473E1,1.506456E2,-2.357704E2
4.666356E-1,-4.574299E2,-4.019259E1,-4.218754E2,-1.544887E2,-1.448546E2,-3.539119E2,3.042251E2,-2.554355E2,8.857180E1,1.071098E2,1.415098E2,-6.156100E1,2.213720E2,-3.186176E2,5.806285E2,6.973952E1,1.503528E2,-2.348722E2
5.332978E-1,-4.579239E2,-3.971288E1,-4.224283E2,-1.562664E2,-1.443264E2,-3.546829E2,3.040354E2,-2.577013E2,8.755824E1,1.067327E2,1.390000E2,-6.550000E1,2.214897E2,-3.183922E2,5.807231E2,6.768064E1,1.504052E2,-2.344522E2
5.999600E-1,-4.580736E2,-4.308966E1,-4.220360E2,-1.561777E2,-1.449162E2,-3.547296E2,3.040353E2,-2.589521E2,8.776269E1,1.064056E2,1.380431E2,-6.609044E1,2.219424E2,-3.176675E2,5.809944E2,6.832886E1,1.504735E2,-2.313899E2
6.666222E-1,-4.583615E2,-4.298724E1,-4.220639E2,-1.553576E2,-1.445241E2,-3.546032E2,3.038179E2,-2.579170E2,8.775536E1,1.076558E2,1.381556E2,-6.643346E1,2.212567E2,-3.180670E2,5.813844E2,6.815532E1,1.505921E2,-2.297418E2
7.332844E-1,-4.606590E2,-4.286641E1,-4.202429E2,-1.557066E2,-1.440488E2,-3.547838E2,3.054796E2,-2.593731E2,8.754794E1,1.079829E2,1.397892E2,-6.622280E1,2.213881E2,-3.188554E2,5.827550E2,6.839941E1,1.514941E2,-2.295053E2
7.999467E-1,-4.623853E2,-4.137384E1,-4.200797E2,-1.555851E2,-1.444083E2,-3.556402E2,3.052775E2,-2.595169E2,8.720948E1,1.088181E2,1.400009E2,-6.633169E1,2.217803E2,-3.190594E2,5.842861E2,6.661375E1,1.516693E2,-2.276989E2
8.666089E-1,-4.621199E2,-4.029800E1,-4.215929E2,-1.551525E2,-1.445370E2,-3.558489E2,3.050347E2,-2.592329E2,8.754455E1,1.092511E2,1.402946E2,-6.661905E1,2.213373E2,-3.204278E2,5.837129E2,6.841738E1,1.537231E2,-2.276529E2
9.332711E-1,-4.620674E2,-3.995318E1,-4.219246E2,-1.556534E2,-1.436832E2,-3.572283E2,3.055724E2,-2.595655E2,8.747770E1,1.105534E2,1.397475E2,-6.639469E1,2.215858E2,-3.206320E2,5.836956E2,6.686410E1,1.513399E2,-2.280793E2
9.999333E-1,-4.620086E2,-4.030791E1,-4.228941E2,-1.541965E2,-1.430398E2,-3.571157E2,3.077228E2,-2.577392E2,8.891307E1,1.109666E2,1.401918E2,-6.651149E1,2.217602E2,-3.206529E2,5.831548E2,6.653228E1,1.514928E2,-2.258570E2
1.066596E0,-4.570000E2,-3.900000E1,-4.266805E2,-1.544676E2,-1.434287E2,-3.564974E2,3.081500E2,-2.569121E2,9.199057E1,1.103682E2,1.400516E2,-6.663112E1,2.190000E2,-3.230000E2,5.813045E2,6.653216E1,1.503110E2,-2.250857E2
1.133258E0,-4.568573E2,-3.897596E1,-4.262406E2,-1.545334E2,-1.438176E2,-3.566279E2,3.076563E2,-2.560044E2,9.147051E1,1.095756E2,1.389457E2,-6.738863E1,2.193311E2,-3.240437E2,5.819159E2,6.625872E1,1.500564E2,-2.252920E2
1.199920E0,-4.571686E2,-3.943228E1,-4.259503E2,-1.545545E2,-1.458116E2,-3.553313E2,3.086587E2,-2.548998E2,9.134379E1,1.099332E2,1.386872E2,-6.821448E1,2.205106E2,-3.245169E2,5.820652E2,6.646736E1,1.504136E2,-2.263966E2
1.266582E0,-4.566239E2,-4.107173E1,-4.259837E2,-1.563871E2,-1.454935E2,-3.552857E2,3.093313E2,-2.546641E2,8.972570E1,1.111400E2,1.390511E2,-6.849005E1,2.212236E2,-3.262932E2,5.815298E2,6.660669E1,1.507805E2,-2.278115E2
1.333244E0,-4.581049E2,-4.178255E1,-4.261904E2,-1.564522E2,-1.455661E2,-3.557673E2,3.076714E2,-2.542619E2,9.025336E1,1.105670E2,1.392148E2,-6.844598E1,2.208985E2,-3.273575E2,5.818821E2,6.669306E1,1.501371E2,-2.253425E2
1.399907E0,-4.582202E2,-4.130139E1,-4.251463E2,-1.584144E2,-1.470919E2,-3.557478E2,3.079849E2,-2.547712E2,9.052954E1,1.112645E2,1.401475E2,-6.841044E1,2.203477E2,-3.277585E2,5.818985E2,6.679507E1,1.509009E2,-2.255819E2
1.466569E0,-4.575047E2,-4.233245E1,-4.245000E2,-1.580000E2,-1.447535E2,-3.545611E2,3.085506E2,-2.547389E2,9.132262E1,1.122602E2,1.401191E2,-6.800042E1,2.188988E2,-3.300791E2,5.820558E2,6.469649E1,1.498094E2,-2.254600E2
1.533231E0,-4.591816E2,-4.240435E1,-4.243362E2,-1.580195E2,-1.437488E2,-3.569405E2,3.091947E2,-2.537321E2,9.137385E1,1.103482E2,1.401066E2,-6.862021E1,2.178764E2,-3.298636E2,5.803041E2,6.443447E1,1.486416E2,-2.248950E2
1.599893E0,-4.580488E2,-4.085025E1,-4.236884E2,-1.591711E2,-1.434661E2,-3.562704E2,3.090555E2,-2.533845E2,9.043796E1,1.121051E2,1.395257E2,-6.870861E1,2.174423E2,-3.296858E2,5.823502E2,6.322079E1,1.493392E2,-2.251918E2
1.666556E0,-4.589726E2,-3.957006E1,-4.212167E2,-1.609147E2,-1.441239E2,-3.554493E2,3.092704E2,-2.535646E2,8.901446E1,1.127341E2,1.403082E2,-6.881320E1,2.166474E2,-3.320796E2,5.819816E2,6.387878E1,1.513265E2,-2.266739E2
1.733218E0,-4.585383E2,-4.021456E1,-4.218148E2,-1.609065E2,-1.445276E2,-3.556984E2,3.075000E2,-2.550000E2,9.103662E1,1.109252E2,1.399636E2,-6.878894E1,2.179445E2,-3.321720E2,5.820078E2,6.334456E1,1.512221E2,-2.262766E2
1.799880E0,-4.583231E2,-4.080103E1,-4.212171E2,-1.612941E2,-1.465043E2,-3.554634E2,3.076165E2,-2.555905E2,8.971691E1,1.127048E2,1.399135E2,-6.849853E1,2.183998E2,-3.312955E2,5.821420E2,6.376051E1,1.512104E2,-2.262582E2
1.866542E0,-4.580272E2,-4.091503E1,-4.234330E2,-1.628046E2,-1.465171E2,-3.555984E2,3.075466E2,-2.576221E2,8.946279E1,1.107639E2,1.398845E2,-6.866341E1,2.182154E2,-3.316602E2,5.815086E2,6.356429E1,1.512270E2,-2.260883E2
1.933204E0,-4.580952E2,-4.084736E1,-4.250460E2,-1.623370E2,-1.482072E2,-3.535088E2,3.072990E2,-2.577008E2,9.135263E1,1.125318E2,1.395594E2,-6.856005E1,2.176286E2,-3.315931E2,5.822993E2,6.361023E1,1.501509E2,-2.284004E2
1.999867E0,-4.580780E2,-4.194327E1,-4.248379E2,-1.630073E2,-1.480950E2,-3.526659E2,3.077581E2,-2.596706E2,9.163258E1,1.131618E2,1.402393E2,-6.775114E1,2.179981E2,-3.328720E2,5.821683E2,6.322651E1,1.496576E2,-2.304337E2
2.066529E0,-4.579413E2,-4.177506E1,-4.225289E2,-1.630519E2,-1.484994E2,-3.526234E2,3.074115E2,-2.599422E2,9.011758E1,1.144371E2,1.395448E2,-6.741727E1,2.180795E2,-3.329031E2,5.835778E2,6.375301E1,1.514114E2,-2.282975E2
2.133191E0,-4.580154E2,-4.018396E1,-4.197317E2,-1.611135E2,-1.450000E2,-3.580000E2,3.077702E2,-2.610443E2,8.969241E1,1.134406E2,1.390479E2,-6.762395E1,2.180156E2,-3.334548E2,5.839266E2,6.364814E1,1.518690E2,-2.286249E2
2.199853E0,-4.579639E2,-4.001857E1,-4.174293E2,-1.591919E2,-1.447549E2,-3.572622E2,3.075608E2,-2.607435E2,8.902271E1,1.133826E2,1.382321E2,-6.838740E1,2.182928E2,-3.332083E2,5.838791E2,6.195833E1,1.527307E2,-2.284363E2
2.266516E0,-4.605000E2,-4.200000E1,-4.171902E2,-1.598393E2,-1.453635E2,-3.552118E2,3.076283E2,-2.614145E2,9.024670E1,1.142413E2,1.397789E2,-6.842736E1,2.179542E2,-3.330802E2,5.843169E2,6.107600E1,1.524868E2,-2.278510E2
2.333178E0,-4.592733E2,-4.219404E1,-4.154004E2,-1.603019E2,-1.432633E2,-3.549816E2,3.075687E2,-2.616676E2,9.041213E1,1.142344E2,1.406630E2,-6.950895E1,2.177629E2,-3.329640E2,5.840847E2,6.060109E1,1.513644E2,-2.274708E2
2.399840E0,-4.596404E2,-4.175253E1,-4.139765E2,-1.576882E2,-1.431560E2,-3.568138E2,3.070505E2,-2.621130E2,9.048726E1,1.140944E2,1.392948E2,-7.144815E1,2.184538E2,-3.334346E2,5.844504E2,5.885323E1,1.513910E2,-2.274904E2
2.466502E0,-4.624601E2,-4.203980E1,-4.140802E2,-1.578447E2,-1.432859E2,-3.574113E2,3.075190E2,-2.623111E2,9.010996E1,1.142832E2,1.389306E2,-7.155734E1,2.180259E2,-3.333050E2,5.843186E2,5.860510E1,1.495346E2,-2.275319E2
2.533164E0,-4.633708E2,-4.185774E1,-4.120715E2,-1.562782E2,-1.428733E2,-3.572453E2,3.085624E2,-2.618746E2,9.061444E1,1.142102E2,1.393656E2,-7.165263E1,2.191939E2,-3.346431E2,5.817718E2,5.855456E1,1.488454E2,-2.273754E2
2.599827E0,-4.648600E2,-4.178363E1,-4.129859E2,-1.557757E2,-1.427850E2,-3.568129E2,3.102027E2,-2.637198E2,9.089108E1,1.138837E2,1.387166E2,-7.169216E1,2.207503E2,-3.348724E2,5.819729E2,5.824782E1,1.483275E2,-2.272572E2
2.666489E0,-4.621544E2,-4.227106E1,-4.131602E2,-1.561293E2,-1.430441E2,-3.561401E2,3.126723E2,-2.641159E2,9.060369E1,1.126034E2,1.386775E2,-7.166328E1,2.212703E2,-3.352575E2,5.816693E2,5.685230E1,1.485496E2,-2.277116E2
2.733151E0,-4.617305E2,-4.195580E1,-4.152586E2,-1.559702E2,-1.403480E2,-3.557876E2,3.143338E2,-2.638580E2,9.125184E1,1.126900E2,1.402577E2,-7.143042E1,2.228827E2,-3.354525E2,5.820987E2,5.655937E1,1.482281E2,-2.274948E2
2.799813E0,-4.612812E2,-4.308155E1,-4.150978E2,-1.562864E2,-1.397803E2,-3.557668E2,3.146303E2,-2.639557E2,9.133907E1,1.133816E2,1.400174E2,-7.150935E1,2.180000E2,-3.340000E2,5.822355E2,5.627814E1,1.480413E2,-2.272536E2
2.866476E0,-4.611315E2,-4.114688E1,-4.154688E2,-1.553121E2,-1.398014E2,-3.575254E2,3.124641E2,-2.638392E2,9.277074E1,1.118661E2,1.390984E2,-7.154045E1,2.177645E2,-3.341871E2,5.820493E2,5.635347E1,1.482987E2,-2.274603E2
2.933138E0,-4.642737E2,-4.298513E1,-4.159397E2,-1.526425E2,-1.398305E2,-3.579264E2,3.143383E2,-2.640097E2,9.366808E1,1.112729E2,1.393710E2,-7.119817E1,2.181488E2,-3.338987E2,5.822262E2,5.538302E1,1.486496E2,-2.279632E2
2.999800E0,-4.616432E2,-4.309738E1,-4.155968E2,-1.531611E2,-1.384942E2,-3.579783E2,3.144009E2,-2.655656E2,9.377242E1,1.095770E2,1.392783E2,-6.975724E1,2.183951E2,-3.338630E2,5.822984E2,5.513592E1,1.486762E2,-2.293635E2
3.066462E0,-4.617569E2,-4.290730E1,-4.158704E2,-1.546565E2,-1.399770E2,-3.581193E2,3.147727E2,-2.662731E2,9.521673E1,1.115706E2,1.401190E2,-6.969524E1,2.180828E2,-3.338484E2,5.821515E2,5.535901E1,1.483652E2,-2.292457E2
3.133124E0,-4.618900E2,-4.096693E1,-4.153690E2,-1.559041E2,-1.398488E2,-3.578933E2,3.145337E2,-2.659602E2,9.674264E1,1.105551E2,1.399131E2,-6.948754E1,2.200000E2,-3.350000E2,5.821931E2,5.507250E1,1.464877E2,-2.312414E2
3.199787E0,-4.623243E2,-4.000297E1,-4.178780E2,-1.577727E2,-1.380512E2,-3.560762E2,3.144629E2,-2.658365E2,9.641677E1,1.111544E2,1.398547E2,-6.966161E1,2.197717E2,-3.347279E2,5.822829E2,5.535400E1,1.405000E2,-2.425000E2
3.266449E0,-4.601711E2,-4.135902E1,-4.177037E2,-1.598452E2,-1.378254E2,-3.578047E2,3.145748E2,-2.661813E2,9.552076E1,1.122427E2,1.401104E2,-6.939981E1,2.217473E2,-3.353633E2,5.800396E2,5.370869E1,1.409856E2,-2.426592E2
3.333111E0,-4.607023E2,-3.915968E1,-4.174825E2,-1.602945E2,-1.383747E2,-3.582025E2,3.146317E2,-2.682446E2,9.564773E1,1.116465E2,1.404477E2,-6.943918E1,2.219142E2,-3.345916E2,5.802876E2,5.139067E1,1.420735E2,-2.406949E2
3.399773E0,-4.621931E2,-4.099579E1,-4.189156E2,-1.588633E2,-1.380432E2,-3.573314E2,3.144656E2,-2.641247E2,9.531084E1,1.120043E2,1.400036E2,-6.949092E1,2.237661E2,-3.352128E2,5.798511E2,5.166808E1,1.408074E2,-2.409838E2
3.466436E0,-4.624527E2,-4.120679E1,-4.195304E2,-1.592469E2,-1.375778E2,-3.566362E2,3.146657E2,-2.640400E2,9.527736E1,1.120889E2,1.400939E2,-6.963485E1,2.241039E2,-3.348654E2,5.804833E2,5.010980E1,1.422151E2,-2.400582E2
3.533098E0,-4.608776E2,-4.094561E1,-4.186248E2,-1.600157E2,-1.375336E2,-3.569156E2,3.142851E2,-2.636406E2,9.726164E1,1.122489E2,1.402023E2,-6.987394E1,2.236594E2,-3.350842E2,5.803036E2,5.032364E1,1.428084E2,-2.403628E2
3.599760E0,-4.605191E2,-4.266295E1,-4.200664E2,-1.584309E2,-1.378721E2,-3.570503E2,3.190000E2,-2.625000E2,9.702352E1,1.124075E2,1.400916E2,-6.946923E1,2.240558E2,-3.348981E2,5.800384E2,5.059035E1,1.425653E2,-2.409788E2
3.666422E0,-4.577527E2,-4.666028E1,-4.206393E2,-1.571689E2,-1.380916E2,-3.571946E2,3.188731E2,-2.623824E2,9.746185E1,1.119740E2,1.401149E2,-6.958328E1,2.235433E2,-3.367805E2,5.792218E2,5.112737E1,1.429748E2,-2.404443E2
3.733084E0,-4.573077E2,-4.728853E1,-4.203287E2,-1.565325E2,-1.364355E2,-3.571622E2,3.155000E2,-2.610000E2,9.747884E1,1.122936E2,1.398688E2,-6.983073E1,2.236130E2,-3.370221E2,5.805007E2,5.136454E1,1.427145E2,-2.401283E2
3.799747E0,-4.595848E2,-4.882867E1,-4.203934E2,-1.569834E2,-1.342469E2,-3.569370E2,3.190000E2,-2.550000E2,9.867695E1,1.118021E2,1.410941E2,-6.875759E1,2.242570E2,-3.369318E2,5.794767E2,5.124121E1,1.440089E2,-2.416900E2
3.866409E0,-4.613043E2,-4.892062E1,-4.207451E2,-1.557306E2,-1.337846E2,-3.568999E2,3.270000E2,-2.580000E2,9.942311E1,1.126678E2,1.409050E2,-6.851861E1,2.239070E2,-3.366976E2,5.788431E2,5.073021E1,1.451962E2,-2.415921E2
3.933071E0,-4.616381E2,-4.881173E1,-4.205704E2,-1.558755E2,-1.340175E2,-3.580429E2,3.254548E2,-2.559248E2,9.750632E1,1.133786E2,1.398081E2,-6.957504E1,2.240869E2,-3.372181E2,5.788932E2,5.000141E1,1.435078E2,-2.418972E2
3.999733E0,-4.607297E2,-4.974141E1,-4.204936E2,-1.542428E2,-1.342503E2,-3.580773E2,3.270000E2,-2.580365E2,9.688023E1,1.122536E2,1.397932E2,-6.986584E1,2.241719E2,-3.371728E2,5.790875E2,5.046591E1,1.435706E2,-2.413980E2
4.066396E0,-4.622403E2,-4.983535E1,-4.203152E2,-1.539338E2,-1.341244E2,-3.581640E2,3.266458E2,-2.561206E2,9.678497E1,1.119731E2,1.398598E2,-6.951454E1,2.235697E2,-3.357554E2,5.806136E2,4.870940E1,1.431256E2,-2.413638E2
4.133058E0,-4.649884E2,-4.980903E1,-4.185734E2,-1.546489E2,-1.340772E2,-3.561858E2,3.274664E2,-2.557695E2,9.461710E1,1.115145E2,1.398938E2,-6.977821E1,2.242407E2,-3.370552E2,5.810800E2,4.685164E1,1.437656E2,-2.415334E2
4.199720E0,-4.622694E2,-4.828795E1,-4.164926E2,-1.567454E2,-1.338430E2,-3.557987E2,3.274101E2,-2.560640E2,9.417807E1,1.127136E2,1.422064E2,-6.924824E1,2.241076E2,-3.369623E2,5.809518E2,4.623729E1,1.434340E2,-2.419548E2
4.266382E0,-4.623837E2,-4.794704E1,-4.163453E2,-1.613828E2,-1.340951E2,-3.558980E2,3.252527E2,-2.578657E2,9.628640E1,1.164380E2,1.421987E2,-6.951530E1,2.239573E2,-3.369637E2,5.811258E2,4.605557E1,1.418881E2,-2.397872E2
4.333044E0,-4.614415E2,-4.905916E1,-4.162456E2,-1.609624E2,-1.338141E2,-3.560432E2,3.248475E2,-2.583665E2,9.669302E1,1.159806E2,1.417321E2,-6.979615E1,2.239299E2,-3.370353E2,5.814748E2,4.397022E1,1.396519E2,-2.406387E2
4.399707E0,-4.612587E2,-4.692223E1,-4.164501E2,-1.605638E2,-1.336209E2,-3.556170E2,3.231686E2,-2.596706E2,9.649232E1,1.160527E2,1.401551E2,-6.941948E1,2.240382E2,-3.371352E2,5.809192E2,4.342456E1,1.374063E2,-2.396646E2
