#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,,masa F,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
4.633024E1,8.360000E2,5.890000E2,7.950537E2,7.130787E2,7.485000E2,8.950000E2,1.209282E2,7.047072E2,6.425000E2,2.370000E2,3.902385E2,1.118468E2
4.639691E1,8.362167E2,5.899799E2,7.956576E2,7.139896E2,7.480760E2,8.947559E2,1.206548E2,7.034843E2,6.423480E2,2.383942E2,3.902759E2,1.117430E2
4.646357E1,8.348842E2,5.909748E2,7.948882E2,7.150618E2,7.490728E2,8.950013E2,1.218150E2,7.022110E2,6.426463E2,2.377965E2,3.893473E2,1.087276E2
4.653023E1,8.338010E2,5.911952E2,7.961763E2,7.167270E2,7.490000E2,8.940000E2,1.219890E2,7.022320E2,6.425429E2,2.370255E2,3.897094E2,1.081651E2
4.659689E1,8.336468E2,5.913261E2,7.961043E2,7.171972E2,7.493497E2,8.948773E2,1.223032E2,7.032724E2,6.428039E2,2.377999E2,3.915753E2,1.091732E2
4.666356E1,8.331343E2,5.904121E2,7.970217E2,7.180619E2,7.515000E2,8.935000E2,1.212818E2,7.047072E2,6.445265E2,2.385651E2,3.920209E2,1.118468E2
4.673022E1,8.330998E2,5.892934E2,7.969797E2,7.179503E2,7.529071E2,8.928923E2,1.212818E2,7.015249E2,6.444530E2,2.390304E2,3.911297E2,1.100644E2
4.679688E1,8.327515E2,5.891575E2,7.950537E2,7.181302E2,7.536120E2,8.935362E2,1.204516E2,7.003034E2,6.444518E2,2.388912E2,3.893473E2,1.105100E2
4.686354E1,8.328804E2,5.874209E2,7.939755E2,7.191648E2,7.520000E2,8.945000E2,1.206647E2,7.000934E2,6.446041E2,2.406802E2,3.894615E2,1.097052E2
4.693020E1,8.325626E2,5.874578E2,7.950537E2,7.192528E2,7.540000E2,8.945000E2,1.204990E2,6.996851E2,6.450000E2,2.405000E2,3.884560E2,1.082820E2
4.699687E1,8.319315E2,5.881842E2,7.953344E2,7.192528E2,7.544050E2,8.951562E2,1.216354E2,7.029392E2,6.456517E2,2.395661E2,3.881956E2,1.085916E2
4.706353E1,8.311419E2,5.865813E2,7.943951E2,7.186856E2,7.538607E2,8.960529E2,1.201928E2,7.031794E2,6.453215E2,2.386500E2,3.906841E2,1.082820E2
4.713019E1,8.320000E2,5.840000E2,7.958956E2,7.178496E2,7.549279E2,8.948928E2,1.221579E2,7.042185E2,6.441661E2,2.393671E2,3.911297E2,1.100644E2
4.719685E1,8.317332E2,5.821957E2,7.961270E2,7.194254E2,7.548279E2,8.947197E2,1.216048E2,7.027791E2,6.440926E2,2.391659E2,3.915753E2,1.091732E2
4.726352E1,8.322608E2,5.824847E2,7.953344E2,7.170077E2,7.555000E2,8.960000E2,1.188066E2,7.040000E2,6.420369E2,2.415184E2,3.929121E2,1.060540E2
4.733018E1,8.316184E2,5.835599E2,7.955987E2,7.173532E2,7.533147E2,8.973891E2,1.202210E2,7.004641E2,6.415000E2,2.435000E2,3.933951E2,1.052734E2
4.739684E1,8.303893E2,5.837152E2,7.961757E2,7.182629E2,7.535936E2,8.976584E2,1.202004E2,7.003498E2,6.429991E2,2.432814E2,3.933839E2,1.058365E2
4.746350E1,8.294052E2,5.841061E2,7.951347E2,7.197777E2,7.524292E2,8.972084E2,1.182006E2,7.002703E2,6.426110E2,2.446780E2,3.942489E2,1.033803E2
4.753016E1,8.289558E2,5.819358E2,7.954723E2,7.181257E2,7.522333E2,8.968474E2,1.176997E2,6.990588E2,6.445000E2,2.435000E2,3.949239E2,1.035186E2
4.759683E1,8.292757E2,5.814140E2,7.958956E2,7.198141E2,7.527407E2,8.951228E2,1.175099E2,6.991992E2,6.446556E2,2.442892E2,3.946945E2,1.060540E2
4.766349E1,8.289492E2,5.830436E2,7.957751E2,7.198856E2,7.530976E2,8.933289E2,1.192644E2,7.006074E2,6.449140E2,2.441250E2,3.929121E2,1.056084E2
4.773015E1,8.280000E2,5.815000E2,7.961763E2,7.226205E2,7.514426E2,8.923486E2,1.198875E2,7.006530E2,6.460000E2,2.435000E2,3.942489E2,1.047171E2
4.779681E1,8.275839E2,5.814085E2,7.972988E2,7.217786E2,7.511055E2,8.921515E2,1.200721E2,7.009169E2,6.463860E2,2.433326E2,3.951401E2,1.029347E2
4.786348E1,8.285000E2,5.835000E2,7.965471E2,7.215438E2,7.516601E2,8.929720E2,1.187108E2,7.024144E2,6.440000E2,2.440000E2,3.945178E2,1.041860E2
4.793014E1,8.274759E2,5.845272E2,7.967776E2,7.220103E2,7.528523E2,8.921077E2,1.195683E2,7.026157E2,6.454783E2,2.437363E2,3.949147E2,1.047814E2
4.799680E1,8.281643E2,5.835807E2,7.954114E2,7.247604E2,7.523301E2,8.938518E2,1.193307E2,7.032584E2,6.464172E2,2.443448E2,3.954592E2,1.031718E2
4.806346E1,8.281904E2,5.831615E2,7.956978E2,7.267660E2,7.533147E2,8.938171E2,1.195756E2,7.024889E2,6.452932E2,2.431657E2,3.958308E2,1.029243E2
4.813012E1,8.282635E2,5.805505E2,7.959233E2,7.260770E2,7.521240E2,8.914357E2,1.187108E2,7.012918E2,6.452475E2,2.436524E2,3.959995E2,1.020835E2
4.819679E1,8.300000E2,5.820000E2,7.984214E2,7.254269E2,7.523600E2,8.915949E2,1.178461E2,7.011590E2,6.457772E2,2.433242E2,3.962234E2,1.013021E2
4.826345E1,8.299350E2,5.824755E2,7.956387E2,7.247096E2,7.533147E2,8.922295E2,1.189914E2,7.018531E2,6.442947E2,2.450166E2,3.951441E2,1.012816E2
4.833011E1,8.290000E2,5.825000E2,7.966158E2,7.252143E2,7.535573E2,8.907185E2,1.191980E2,7.023731E2,6.445853E2,2.447532E2,3.952355E2,1.013834E2
4.839677E1,8.287502E2,5.823082E2,7.954755E2,7.236575E2,7.523794E2,8.915805E2,1.187108E2,6.993273E2,6.465411E2,2.466990E2,3.938840E2,1.030143E2
4.846344E1,8.294625E2,5.825966E2,7.947656E2,7.222843E2,7.529304E2,8.920940E2,1.190771E2,6.988543E2,6.455000E2,2.495000E2,3.954221E2,1.021250E2
4.853010E1,8.299019E2,5.807751E2,7.951064E2,7.213365E2,7.552992E2,8.918326E2,1.178689E2,7.024144E2,6.476940E2,2.502996E2,3.976672E2,1.018443E2
4.859676E1,8.306657E2,5.811253E2,7.944754E2,7.220774E2,7.564899E2,8.926264E2,1.174857E2,7.033801E2,6.450000E2,2.500000E2,3.974721E2,1.020685E2
4.866342E1,8.313724E2,5.809006E2,7.947932E2,7.223287E2,7.572837E2,8.894512E2,1.170270E2,7.012918E2,6.447743E2,2.520302E2,3.976672E2,1.043701E2
4.873008E1,8.307747E2,5.810512E2,7.939718E2,7.214938E2,7.570991E2,8.895464E2,1.150625E2,7.018531E2,6.463703E2,2.513824E2,3.965446E2,1.052120E2
4.879675E1,8.308368E2,5.817976E2,7.945660E2,7.220059E2,7.574264E2,8.909587E2,1.145012E2,7.007305E2,6.460000E2,2.490000E2,3.976672E2,1.046507E2
4.886341E1,8.297112E2,5.820315E2,7.954995E2,7.217604E2,7.563037E2,8.890612E2,1.141394E2,7.010368E2,6.490000E2,2.535000E2,3.985091E2,1.046507E2
4.893007E1,8.291498E2,5.828127E2,7.954994E2,7.201551E2,7.541681E2,8.893644E2,1.153431E2,7.029757E2,6.482925E2,2.519304E2,3.985091E2,1.043701E2
4.899673E1,8.301064E2,5.847115E2,7.911248E2,7.189722E2,7.515913E2,8.898269E2,1.151605E2,7.032547E2,6.470000E2,2.505000E2,3.988552E2,1.043022E2
4.906340E1,8.286349E2,5.844193E2,7.920380E2,7.186528E2,7.504903E2,8.881622E2,1.155810E2,7.021561E2,6.470642E2,2.504934E2,3.974706E2,1.038415E2
4.913006E1,8.291105E2,5.828799E2,7.923925E2,7.185216E2,7.501395E2,8.900512E2,1.147818E2,7.024144E2,6.480000E2,2.525000E2,3.971762E2,1.057650E2
4.919672E1,8.278401E2,5.815597E2,7.924700E2,7.196274E2,7.508781E2,8.913716E2,1.133786E2,7.043789E2,6.485000E2,2.510000E2,3.973865E2,1.066152E2
4.926338E1,8.275744E2,5.810680E2,7.922523E2,7.200003E2,7.520205E2,8.910659E2,1.120735E2,7.037071E2,6.492448E2,2.506603E2,3.986655E2,1.064267E2
4.933004E1,8.289908E2,5.821289E2,7.922541E2,7.205688E2,7.517271E2,8.918326E2,1.139399E2,7.021337E2,6.480000E2,2.490000E2,3.988564E2,1.062375E2
4.939671E1,8.300000E2,5.830000E2,7.919667E2,7.217786E2,7.489488E2,8.926264E2,1.136593E2,7.015725E2,6.494881E2,2.501397E2,4.009435E2,1.056793E2
4.946337E1,8.313145E2,5.837285E2,7.920401E2,7.214297E2,7.477453E2,8.939521E2,1.122561E2,7.004499E2,6.497935E2,2.501931E2,4.019947E2,1.055508E2
4.953003E1,8.322239E2,5.818066E2,7.925026E2,7.227917E2,7.495055E2,8.943477E2,1.119754E2,7.021337E2,6.490000E2,2.525000E2,4.021574E2,1.046507E2
4.959669E1,8.316424E2,5.821088E2,7.927533E2,7.222336E2,7.495534E2,8.934941E2,1.111335E2,7.024144E2,6.470350E2,2.528685E2,4.022014E2,1.066111E2
4.966336E1,8.309621E2,5.812096E2,7.951646E2,7.227832E2,7.477581E2,8.926264E2,1.105722E2,7.038176E2,6.467466E2,2.531411E2,4.018768E2,1.066152E2
4.973002E1,8.303623E2,5.820855E2,7.946836E2,7.225205E2,7.467013E2,8.940171E2,1.102916E2,7.052208E2,6.462239E2,2.536310E2,4.018768E2,1.063346E2
4.979668E1,8.296795E2,5.811188E2,7.943700E2,7.221021E2,7.474291E2,8.948051E2,1.119754E2,7.077465E2,6.457044E2,2.538042E2,4.013155E2,1.052120E2
4.986334E1,8.309804E2,5.801450E2,7.951765E2,7.203670E2,7.486686E2,8.954364E2,1.147818E2,7.060627E2,6.444713E2,2.533850E2,4.010349E2,1.049314E2
4.993000E1,8.337134E2,5.803427E2,7.953573E2,7.198606E2,7.510302E2,8.949494E2,1.150718E2,7.063112E2,6.435279E2,2.552330E2,4.035606E2,1.057733E2
4.999667E1,8.342418E2,5.792985E2,7.950116E2,7.189370E2,7.518664E2,8.945728E2,1.167463E2,7.066240E2,6.434271E2,2.545403E2,4.048492E2,1.058851E2
5.006333E1,8.345609E2,5.800250E2,7.936505E2,7.172883E2,7.523780E2,8.959836E2,1.183799E2,7.056811E2,6.437596E2,2.545019E2,4.060864E2,1.066152E2
5.012999E1,8.352351E2,5.807949E2,7.953254E2,7.171147E2,7.534953E2,8.966277E2,1.169614E2,7.050121E2,6.424623E2,2.552274E2,4.060180E2,1.052877E2
5.019665E1,8.351543E2,5.799260E2,7.937045E2,7.170876E2,7.540202E2,8.978546E2,1.197506E2,7.052575E2,6.405000E2,2.570000E2,4.083315E2,1.049314E2
5.026332E1,8.346460E2,5.789208E2,7.956150E2,7.181302E2,7.536358E2,8.967604E2,1.205614E2,7.062938E2,6.415000E2,2.590000E2,4.082612E2,1.043839E2
5.032998E1,8.343238E2,5.801349E2,7.968831E2,7.178588E2,7.529178E2,8.969922E2,1.196114E2,7.072923E2,6.425000E2,2.610000E2,4.072089E2,1.040895E2
5.039664E1,8.335655E2,5.807439E2,7.968544E2,7.183640E2,7.521397E2,8.969362E2,1.202574E2,7.068465E2,6.400000E2,2.575000E2,4.063670E2,1.057733E2
5.046330E1,8.337465E2,5.815532E2,7.984214E2,7.186915E2,7.503888E2,8.970522E2,1.159044E2,7.035369E2,6.406017E2,2.572021E2,4.072089E2,1.046507E2
5.052996E1,8.355000E2,5.785000E2,7.981408E2,7.200947E2,7.503669E2,8.969679E2,1.209559E2,7.077465E2,6.370000E2,2.575000E2,4.073606E2,1.050804E2
5.059663E1,8.364330E2,5.785464E2,7.976054E2,7.206965E2,7.503597E2,8.971098E2,1.206837E2,7.079680E2,6.350000E2,2.565000E2,4.066477E2,1.066152E2
5.066329E1,8.366742E2,5.781721E2,7.975795E2,7.203754E2,7.510144E2,8.974498E2,1.210924E2,7.080594E2,6.350043E2,2.543897E2,4.049638E2,1.066152E2
5.072995E1,8.382693E2,5.786930E2,7.998246E2,7.181302E2,7.528416E2,8.974705E2,1.203947E2,7.083078E2,6.358943E2,2.540918E2,4.038409E2,1.077967E2
5.079661E1,8.370000E2,5.830000E2,7.996849E2,7.178189E2,7.532777E2,8.965486E2,1.204601E2,7.068666E2,6.362075E2,2.547139E2,4.029585E2,1.080293E2
5.086328E1,8.375780E2,5.826537E2,7.988555E2,7.175936E2,7.536168E2,8.962059E2,1.201140E2,7.069046E2,6.400000E2,2.545000E2,4.026462E2,1.094148E2
5.092994E1,8.367542E2,5.815947E2,7.991326E2,7.165084E2,7.540272E2,8.956954E2,1.180118E2,7.059307E2,6.399651E2,2.537038E2,4.033201E2,1.102394E2
5.099660E1,8.358849E2,5.843509E2,7.996389E2,7.181072E2,7.539564E2,8.971104E2,1.174506E2,7.056211E2,6.380000E2,2.555000E2,4.035606E2,1.105442E2
5.106326E1,8.369998E2,5.836537E2,7.985291E2,7.196164E2,7.536433E2,8.969041E2,1.174240E2,7.057622E2,6.367547E2,2.573965E2,4.015961E2,1.111055E2
5.112992E1,8.380132E2,5.844413E2,7.989827E2,7.212173E2,7.559311E2,8.953801E2,1.181495E2,7.040982E2,6.352940E2,2.575914E2,4.015606E2,1.114333E2
5.119659E1,8.390000E2,5.830000E2,7.977696E2,7.206714E2,7.569899E2,8.953684E2,1.153431E2,7.043789E2,6.354486E2,2.567029E2,4.038107E2,1.126441E2
5.126325E1,8.390171E2,5.834917E2,7.987342E2,7.200922E2,7.574086E2,8.946417E2,1.167463E2,7.066240E2,6.375000E2,2.555000E2,4.052445E2,1.139119E2
5.132991E1,8.392758E2,5.833051E2,7.992803E2,7.209676E2,7.573673E2,8.949144E2,1.161850E2,7.035369E2,6.394138E2,2.564929E2,4.040024E2,1.155224E2
5.139657E1,8.390000E2,5.850000E2,8.001052E2,7.248656E2,7.568052E2,8.945446E2,1.128174E2,7.012918E2,6.390000E2,2.555000E2,4.029247E2,1.150229E2
